category,query_group,query,best_rank,url,title,body_char_count,image_count,heading_count,quality_score,quality_eligible,fetch_verdict,collected_at
travel,thailand,방콕 패키지여행 후기 코스,2,https://blog.naver.com/doa_pic/224386958979,태국 방콕 여행 파타야 패키지 여행코스,2112,44,12,95,True,strong_ok,2026-08-30T00:15:16+09:00
travel,indonesia,발리 패키지여행 후기 일정,2,https://blog.naver.com/lifeofbliss/224384460666,인도네시아 발리여행 단독 패키지 추천 호핑투어 일정 경비,2622,30,12,95,True,strong_ok,2026-08-30T00:15:17+09:00
travel,europe,스페인 포르투갈 패키지여행 후기,2,https://blog.naver.com/azsx523/224388607887,스페인 포르투갈 패키지 여행 8박 9일 후기 서유럽 특별 할인 정리,1422,10,12,77,True,strong_ok,2026-08-30T00:15:17+09:00
travel,europe,이탈리아 패키지여행 후기 일정,2,https://blog.naver.com/jylking123/224378345185,서유럽여행 Best of Best 2030 서유럽세미패키지 일정 후기,2754,39,12,95,True,strong_ok,2026-08-30T00:15:17+09:00
travel,europe,스위스 패키지여행 후기 코스,2,https://blog.naver.com/hongrunrun/224378901433,프랑스 여행 코스 파리 지베르니 리옹 안시 세미패키지 후기,2563,45,12,95,True,strong_ok,2026-08-30T00:15:18+09:00
travel,europe,동유럽 패키지여행 후기,2,https://blog.naver.com/hongrunrun/224380534932,헝가리 부다페스트 여행 야경 3대 카페 동유럽 세미패키지 추천,2608,29,12,95,True,strong_ok,2026-08-30T00:15:18+09:00
travel,europe,튀르키예 패키지여행 후기 일정,2,https://blog.naver.com/sticky4/224351865728,"튀르키예 여행 패키지 코스 환전, 터키 여행 꿀팁!",2965,32,12,95,True,strong_ok,2026-08-30T00:15:19+09:00
travel,americas,미국 뉴욕 패키지여행 후기,2,https://blog.naver.com/wsw9090/224390440705,보스턴여행 뉴욕 출발 당일치기 여행 일정 투어 코스,1559,17,12,87,True,strong_ok,2026-08-30T00:15:18+09:00
travel,oceania,호주 시드니 패키지여행 후기,2,https://blog.naver.com/jhggyu21/224389458100,호주 시드니 자유여행 코스 일정 경비 준비물 추천 타미스 빅패스,1872,28,12,87,True,strong_ok,2026-08-30T00:15:19+09:00
travel,pacific,괌 패키지여행 후기 일정,2,https://blog.naver.com/eunning08/224382276325,괌 돌핀크루즈 후기 지금괌 스타돌핀크루즈 탕기슨 별빛투어 패키지 솔직 후기,1387,15,12,87,True,strong_ok,2026-08-30T00:15:19+09:00
travel,pacific,사이판 패키지여행 후기,2,https://blog.naver.com/sell_memories/224388722068,"아이와 가족 패키지, 괌·사이판·오키나와 비교 기준",3023,7,12,91,True,strong_ok,2026-08-30T00:15:19+09:00
travel,hongkong,홍콩 마카오 패키지여행 후기,2,https://blog.naver.com/chohoon7/224386862950,홍콩 마카오 3박4일 패키지 노옵션 후기 아시아나 항공 포함 핵심 관광,2984,10,12,95,True,strong_ok,2026-08-30T00:15:20+09:00
travel,china,장가계 패키지여행 후기 일정,2,https://blog.naver.com/hyoyeol/224390492149,중국 장가계 패키지여행 vs 자유여행 3박 4일 가격 비교,3500,24,12,95,True,strong_ok,2026-08-30T00:15:20+09:00
travel,canada,캐나다 패키지여행 후기 코스,2,https://blog.naver.com/lunaeun2/224377554302,미동부 캐나다 패키지 후기 준비물 선택관광 코스 예약 후기,2215,50,12,95,True,strong_ok,2026-08-30T00:15:20+09:00
travel,cruise,크루즈 패키지여행 후기 일정,2,https://blog.naver.com/shfurgus/224362555380,"울릉도, 독도 2박 3일 패키지 여행 후기 3탄, 자유일정, 독도일출전망대케이블카, 독도박물관, 울릉크루즈",1323,47,12,87,True,strong_ok,2026-08-30T00:15:20+09:00
travel,japan,일본 패키지여행 후기 일정,3,https://blog.naver.com/na-myuri/224374051032,"일본 요나고 여행, 2박3일 여행 코스 초특가 패키지로 돗토리 야스기까지 전일정 온천하고 온 후기",2035,38,12,95,True,strong_ok,2026-08-30T00:15:21+09:00
travel,japan,오사카 패키지여행 후기 코스,3,https://blog.naver.com/vgkqkfv/224385703487,오사카 여행 코스 2박 3일 패키지 후기 (교토 청수사·도톤보리·유니버설·나라 사슴공원 총정리),1998,15,12,87,True,strong_ok,2026-08-30T00:15:21+09:00
travel,japan,도쿄 패키지여행 후기 일정,3,https://blog.naver.com/hanadulltour/224379237425,"[일본 패키지여행추천] 가을시즌 취향대로 지역별 일본여행 단풍,온천,미식 일정",1825,17,12,87,True,strong_ok,2026-08-30T00:15:21+09:00
travel,japan,오키나와 패키지여행 후기,3,https://blog.naver.com/thezan/224375325120,오키나와 가족여행 패키지 3박 4일 오키나와 여행 코스,2041,40,12,95,True,strong_ok,2026-08-30T00:15:22+09:00
travel,taiwan,대만 타이베이 패키지여행 후기,3,https://blog.naver.com/purples2s2/224372509040,[대만] 타이베이 3박4일 여행코스 일정 총정리(스압주의),3594,28,12,95,True,strong_ok,2026-08-30T00:15:23+09:00
travel,taiwan,타이페이 단수이 여행 코스 후기,3,https://blog.naver.com/messier1212/224340240334,대만 단수이 여행의 모든 것 : 가는 법 당일치기 코스 맛집 카페,2108,37,12,95,True,strong_ok,2026-08-30T00:15:22+09:00
travel,vietnam,다낭 패키지여행 후기 일정,2,https://blog.naver.com/minekooo/224388940139,다낭 여행 코스 가볼만한곳 3박5일 일정 호이안 투어,1847,36,12,87,True,strong_ok,2026-08-30T00:15:16+09:00
travel,vietnam,나트랑 패키지여행 후기,4,https://blog.naver.com/oomhahaha1/224371566137,나트랑 달랏 패키지 여행 총정리 숨은 꿀팁,1765,21,12,87,True,strong_ok,2026-08-30T00:15:31+09:00
